"SRR1382274"	"SRR1382275"	"SRR1382276"	"SRR1382277"	"SRR1382278"	"SRR1382279"	"SRR1382280"	"SRR1382281"	"SRR1382282"
0	27	2	0	6	4	4	8	11
0	3	10	0	0	0	30	0	0
15	5	6	29	9	3	20	11	4
0	3	0	1	0	0	0	0	0
0	1	5	4	0	5	4	0	1
97	117	66	120	63	100	141	19	27
9	68	104	15	7	7	8	6	0
60	11	7	40	40	99	44	30	0
75	62	14	84	71	105	62	55	45
0	0	0	4	0	18	0	0	0
195	324	135	85	143	134	190	98	122
173	270	201	263	1666	401	268	137	128
0	7	10	13	0	11	4	0	0
430	790	645	645	641	660	875	754	340
8	13	3	7	8	12	8	7	5
40	59	55	103	17	51	162	5	18
0	6	1	0	1	0	3	7	5
25	20	8	23	17	6	18	11	32
2	14	9	4	19	3	11	35	17
56	17	4	3	6	2	59	6	1
9	4	0	4	3	7	1	11	0
20	22	59	50	53	28	24	32	15
0	3	0	2	0	4	3	3	0
118	966	107	135	315	181	486	100	154
0	4	0	12	0	2	0	0	2
0	3	0	0	0	7	3	2	3
103	176	133	133	236	87	151	158	153
0	0	1	0	0	1	0	0	0
26	41	7	10	8	7	11	7	4
17	106	59	42	114	47	69	32	7
17	1	3	24	0	0	0	0	0
0	1	12	0	0	9	10	0	0
85	454	157	494	518	571	492	170	265
74	60	86	16	136	0	123	21	327
75	27	71	50	64	71	41	38	60
119	160	77	125	177	228	125	80	213
3	6	2	3	10	2	13	19	6
44	83	96	81	53	25	82	44	26
126	7	3	14	11	13	0	11	5
229	304	108	110	241	253	372	116	106
37	80	63	137	133	115	58	155	86
1	1	2	0	1	6	1	0	0
280	1484	822	592	1675	692	840	802	788
0	3	3	0	0	3	0	0	0
178	2	17	55	12	8	3	8	7
697	2088	1548	1628	1996	1499	1063	1285	2222
11	48	46	30	56	14	36	28	18
85	134	65	50	213	121	75	88	93
28	41	22	37	59	43	35	34	28
51	37	36	45	83	19	35	17	19
81	232	93	86	119	41	185	50	50
349	477	314	299	565	454	568	492	579
10	22	30	21	17	16	14	40	7
1	21	16	8	10	3	11	104	8
10	14	2	19	4	8	21	13	11
540	244	283	262	252	330	428	139	366
139	161	94	53	203	117	128	199	128
44	233	162	350	199	325	136	193	114
0	2	0	0	0	1	1	0	0
1	2	3	4	0	0	0	4	3
232	320	191	199	391	248	252	105	204
7	13	36	66	95	29	36	35	39
821	1789	700	1035	6020	2293	3008	2212	1254
37	37	42	24	90	83	101	46	34
164	203	124	119	210	131	101	141	139
477	1178	514	730	710	665	594	507	368
18	12	10	20	19	23	22	39	21
5398	2780	4375	4539	2290	1094	4138	1335	1171
165	119	63	137	85	121	191	72	126
431	237	232	179	512	126	200	186	267
197	391	204	672	555	299	317	395	251
256	624	190	161	670	411	444	177	302
0	0	0	0	0	1	0	0	3
54	17	37	135	50	77	32	14	11
17	76	52	173	242	56	93	130	100
4	13	8	9	52	21	9	13	16
106	253	160	145	251	131	111	87	130
19	17	14	5	66	41	35	47	34
24	20	6	65	30	12	112	0	2
7	16	2	5	12	12	5	0	5
74	145	61	134	124	104	133	86	86
7	3	0	0	6	1	0	3	2
49	47	70	35	112	14	22	117	89
